[INFO:2024-09-06 10:51:27,274][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 12:17:32,886][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 12:17:42,068][SCHEDULER] Add job "all" complete
[INFO:2024-09-08 12:17:42,077][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 12:20:43,899][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 12:54:03,194][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 12:54:18,900][SCHEDULER] Add job "all" complete
[INFO:2024-09-08 12:54:18,909][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 12:56:44,501][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 12:57:00,937][SCHEDULER] Add job "all" complete
[INFO:2024-09-08 12:57:00,945][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 12:57:41,893][SCHEDULER] Add job "all" complete
[INFO:2024-09-08 12:57:41,895][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 14:46:44,351][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 14:47:46,815][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 14:48:43,448][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 14:58:53,381][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:05:03,861][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:10:43,814][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:21:20,859][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:22:12,605][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:23:56,535][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:25:44,569][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:55:54,779][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:56:35,672][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 16:58:00,249][SCHEDULER] Jobs loaded correctly.
[ERROR:2024-09-08 16:59:37,497][DATABASE] ОШИБКА:  неверный синтаксис для типа numeric: "*user_id*"
LINE 1: INSERT INTO white_list (user_id) VALUES ('*user_id*')
                                                 ^

[ERROR:2024-09-08 16:59:44,003][DATABASE] ОШИБКА:  неверный синтаксис для типа numeric: "f"
LINE 1: INSERT INTO white_list (user_id) VALUES ('f')
                                                 ^

[INFO:2024-09-08 17:12:34,709][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 17:24:01,408][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 18:49:20,042][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 19:05:38,638][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 19:06:24,774][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 20:14:16,523][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 20:27:20,916][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 20:27:48,710][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 20:41:32,969][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 20:43:39,985][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 20:47:07,788][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 20:47:43,346][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:00:47,686][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:03:29,010][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:09:49,258][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:10:06,558][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:11:29,861][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:13:26,569][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:22:52,461][SCHEDULER] Add job "all" complete
[INFO:2024-09-08 21:22:52,467][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:32:47,562][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:34:01,429][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:37:26,878][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:39:51,852][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:40:01,109][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:46:21,086][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:52:00,061][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:53:15,024][SCHEDULER] Add job "all" complete
[INFO:2024-09-08 21:53:15,028][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 21:56:30,577][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 22:59:43,426][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 23:45:00,605][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-08 23:48:37,954][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-09 00:02:31,857][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-09 00:02:55,975][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-09 00:03:09,530][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-09 00:09:35,385][SCHEDULER] Jobs loaded correctly.
[INFO:2024-09-09 00:11:04,283][SCHEDULER] Jobs loaded correctly.
